ID,GENDER,DEGREE,AGE_RANGE,BLACK,LGBTQIA_PLUS,STATE,CONTRACT,WORK_PLACE,COMPANY_TYPE,COMPANY_SIZE,ANDROID_ACTIVITY,WORK_LEVEL,ANDROID_SIZE,COMPANY_IN_BRAZIL,COMPANY_STATE,COMPANY_REGION,SALARY_RANGE,BENEFITS,ABROAD_COMPANY_CONTINENT,ABROAD_CURRENCY,ABROAD_SALARY_RANGE,ABROAD_RELOCATION_AID
001,M,Ensino superior completo,30-39,N,N,B-CE,CLT,Totalmente presencial,COM,501,Android Primário,Júnior,1-2,S,OU,Interior,1000-3000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Estacionamentoudos, Home office parcial, Pilates, Yoga, Academia",,,,
002,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Totalmente presencial,TEC,11-50,Android Primário,Pleno,3-5,S,MG,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Home office parcial",,,,
003,M,Ensino superior incompleto,21-29,S,N,B-GO,CLT,Parcialmente presencial,TEC,11-50,Android Primário,Pleno,11,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Home office parcial, Home office liberado",,,,
004,M,Ensino superior incompleto,40-49,N,N,E-AN,CLT,Totalmente presencial,FIN,11-50,Android Primário,Sênior,5-10,N,,,,,AN,OUT,6000-9000,N/A
005,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Remoto devido ao COVID,TEC,11-50,Android Primário,Júnior,5-10,S,SP,Região metropolitana,3000-6000,Home office liberado,,,,
006,F,Ensino superior incompleto,21-29,N,N,B-SP,PJS,Remoto devido ao COVID,FIN,101-500,Android Primário,Pleno,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Outros",,,,
007,M,Ensino superior incompleto,21-29,N,N,B-PR,CLT,Totalmente remoto,ALI,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office parcial, 13º Salário",,,,
008,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Outros",,,,
009,M,Ensino superior completo,30-39,N,S,B-SP,EST,,OUT,0,Não relacionado,,,,,,,,,,,
010,M,Pós-graduação,30-39,N,N,B-RS,PJS,Totalmente remoto,TEC,51-100,Android Primário,Sênior,11,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Auxílio para eventosntos, Home office parcial, Home office liberado",,,,
011,M,Mestrado,30-39,N,N,B-PE,CLT,,TEC,501,Não relacionado,,,,,,,,,,,
